"","u0","u1"
"1",3.43948112916839,3.93461709631683
"2",5.5593796560977,6.81793648800142
"3",4.92892216366632,6.04167318534367
"4",4.20902553989468,5.39620432007347
"5",4.538995727053,5.42757698915584
"6",3.92935937372418,6.20184315427823
"7",6.21145015113903,6.08122393932425
"8",5.81116754913827,5.21457594993587
"9",5.87755714569459,6.811571537326
"10",5.50769985061978,4.99259154761323
"11",6.72634402930955,4.20960149056994
"12",5.9223394725729,6.34215723243356
"13",5.7276104633296,5.9407088211284
"14",6.31502197743423,5.08327133640043
"15",2.87357829302905,2.99408764585515
"16",4.61171847420069,5.65394124367187
"17",6.68742599017446,4.95112761811161
"18",7.1247639843717,6.06191680392208
"19",6.0322213734033,6.56813664780727
"20",6.13173444613633,5.26370992287422
"21",5.94405123275366,4.16503885008515
"22",4.57384325672041,4.28144773394174
"23",4.07162828461637,4.32726375327823
"24",6.94775743778695,4.05479914113915
"25",1.80895835935486,3.96230778247493
"26",3.43513817351529,5.29478131123475
"27",6.28622825826496,5.58388306287968
"28",6.35054616148529,7.01160278008315
"29",6.86276186675811,6.22850347200016
"30",6.43964278309073,4.32766150980149
"31",7.32644968194521,7.76868851609281
"32",5.65805190467721,2.72980180276612
"33",6.38398019083974,7.96639949423512
"34",3.71426425134692,6.4587507830406
"35",3.51888803647984,2.32682203534954
"36",4.71738708444798,2.19988341624971
"37",2.28546360157553,2.02945678777573
"38",7.33060491879575,5.23955167057671
"39",7.22543277038912,6.11356499033923
"40",7.0529353953572,6.73946941928427
"41",5.65014948185448,6.03867984554048
"42",4.3062578216926,5.43323989024142
"43",3.51200155341848,3.44620005980497
"44",2.1529615166168,2.90067622413798
"45",8.02340472423258,4.3437860935464
"46",2.63857440301179,5.86496627661899
"47",6.55087276514275,6.24111232921277
"48",6.2022019453379,6.12279087872828
"49",7.04100359117849,5.77779504070788
"50",4.59826945829786,5.93080059438044
"51",7.04274728978617,6.25364122636551
"52",5.5498963700853,6.26648306518283
"53",7.13008095976512,1.84428443524675
"54",4.99520406544586,6.63123194207212
"55",5.71545686182725,5.19226095831496
"56",6.78793532326106,5.29086457420696
"57",5.17392953698124,6.27572741862341
"58",5.80000094458406,4.63346369150627
"59",4.55597334082323,5.33556524743982
"60",5.25462161273665,4.33498860619012
"61",5.25036964410576,6.60979514326212
"62",4.80411700847512,6.99211862406096
"63",6.13735320348904,3.75121765390349
"64",5.98326018931212,7.42524621603655
"65",5.73175132040089,6.48836753336435
"66",6.89890327968914,4.518808977242
"67",6.13784008903416,6.19945228659756
"68",6.42113054231202,6.81048595605115
