"SNP","norm.spread"
1,0.4341564608225068
2,0.2509714277931083
3,0.7792769626884914
4,0.40119990645874387
5,0.6828957152802658
6,0.09801978390352295
7,0.748700552412465
8,0.6186853815274779
9,1.221698611192564
10,0.15717283359318449
11,0.8672905056783081
12,0.30858281019448686
13,0.9150743130855642
14,0.1619448217110621
15,0.7128985021732318
16,0.011686139198923768
17,1.3446912833972402
18,0.8628739260322222
19,0.059578580559725335
20,1.0440467303717382
21,1.2354286446582214
22,0.21242830233546825
23,0.203577851825612
24,0.038222187319722344
25,0.016509197612627806
26,0.12002640170815874
27,0.5703901451856349
28,0.4636483893888645
29,0.7508847067421796
30,0.19930343426364605
31,0.7305700641774237
32,0.9435141955339363
33,0.11963937887426236
34,0.03418997211060526
35,0.08141919520830782
36,0.2221569102461392
37,0.6904496538129524
38,0.6109064840961912
39,0.7336241667837059
40,0.6546790782966914
41,0.4405296158349673
42,0.17940781284256224
43,0.25284509896964286
44,0.15952203300320345
45,0.17619602068173126
46,0.8129528033334203
47,0.32573383277933526
48,0.6648714330112444
49,0.44136957954701733
50,0.27667497712121686
51,0.553326478667607
52,0.054572330498289114
53,1.467841109273202
54,0.18304861039822976
55,0.2897381362273369
56,0.016463240175574732
57,0.614910006511549
58,0.4884057492632523
59,0.923028747893218
60,0.18597158383606652
61,0.5650402021423833
62,0.6427032010973969
63,0.18280291778121718
64,0.48443667875146607
65,0.07173115613124495
66,0.003465239797409593
67,0.10982195999653895
68,0.34214363765807826
69,1.025337181184829
70,0.809049753154258
71,0.9482149725539363
72,0.4087354987837411
73,0.653351534875816
74,0.7317508229510261
75,0.2677186989865146
76,0.4054905445775353
77,0.03122025364575589
78,0.2961602445116139
79,0.11175037491016836
80,0.7238619170350536
81,0.7238619170350536
82,0.6425199075562227
83,0.5913199649664188
84,0.034402023035530485
85,0.08818600241371485
86,0.203577851825612
87,0.203577851825612
88,1.079427920559676
89,0.2332778980815694
90,0.20731235823624983
91,1.495066417850927
92,0.16374165846150143
93,0.6262814387121165
94,0.6215347086494696
