"SNP","norm.spread"
1,0.025954290406001536
2,0.08607659002662206
3,0.008901250318862481
4,0.004338996330498383
5,0.0857689792847363
6,0.11362578351617718
7,0.061588845381278394
8,0.21078396305411573
9,1.3203619500563784
10,0.24145576684814254
11,0.050389736493119015
12,0.08961056070897248
13,0.053379750482149
14,0.2708032600048576
15,0.04654326808614284
16,0.05241482084854812
17,1.3440712851237415
18,0.06776180290741649
19,0.02604477637119673
20,0.07259158888715633
21,0.11859791486941436
22,0.04059971556878244
23,0.13446804264524997
24,0.07804331538598447
25,0.08095925160666698
26,0.030523228343432466
27,0.08090573256148266
28,0.9360932330884264
29,0.10460158891782945
30,0.00852130230720701
31,0.10919591696414753
32,0.04940007462310895
33,0.11130005963223241
34,0.0669146849607579
35,0.06446940043545256
36,0.0030067038154855436
37,0.12133928160816167
38,0.41929413171631386
39,0.10372537413208449
40,0.0030091070310418726
41,0.03439773082105564
42,0.032871291063822534
43,0.08446983477999623
44,0.000487000505038844
45,0.05202619799387524
46,0.03431304501889372
47,0.01713986443699542
48,0.13533507416534754
49,0.066502146215262
50,0.03193739377806595
51,0.068084917702
52,0.009312220430359334
53,0.045714815164353155
54,0.011145380595996462
55,0.12896593085398922
56,0.10653974189329006
57,0.05765820356041703
58,0.16281247797628803
59,0.06834025884749044
60,0.015467496853812742
61,0.033549559745941794
62,0.049423152894590504
63,0.0345946822507642
64,0.1620064190775364
65,0.018948598805192444
66,0.07713429455185994
67,0.08073027593529532
68,1.353264501347956
69,0.12952850972831564
70,0.11459532861633971
71,0.05172520346557194
72,0.018817055648553026
73,0.47674271237307736
74,0.02028808151704127
75,0.01686712977968466
76,0.07285990339781116
77,0.05127096493371635
78,0.015466281850025144
79,0.07227153828074355
80,0.06146436940016247
81,0.06146436940016247
82,0.07086143106653744
83,0.08192082498499603
84,0.11318696192092767
85,0.07273216669751456
86,0.13446804264524997
87,0.13446804264524997
88,0.0892115090352385
89,0.10068251368933999
90,0.09549051625248173
91,0.0753243850349072
92,0.04695836565407852
93,0.10715325762943363
94,0.015206527405572682
